,route_name,route_ID,type_string,sector_ID,parent_sector,parent_loc,num_votes,adjusted_num_votes,mean_rating,median_rating,mode_rating,RQI_mean,RQI_median,ARQI_mean,ARQI_median,nopm_YDS,YDS_rank,safety,state
30026,"You, Me, and Everyone We Know",112149064,sport,111963879,(3) The Aviary,"[-121.56848, 45.4091]",18,30.495830790177948,2.888888888888889,2.9375,3.0,2.7283950617283947,2.7743055555555554,2.7941582711606667,2.8411753574542358,5.10d,106,,Oregon
30027,Felsschlüpfer (Rock Wren),111965873,sport,111963879,(3) The Aviary,"[-121.56848, 45.4091]",14,23.718979503471736,2.357142857142857,2.5,3.0,2.188775510204082,2.3214285714285716,2.257764936739585,2.394599175329863,5.10d,106,,Oregon
30028,Osprey,109610425,sport,111963879,(3) The Aviary,"[-121.56848, 45.4091]",39,71.10574408889838,3.0256410256410255,3.0166666666666666,3.0,2.948060486522025,2.939316239316239,2.9830897372126493,2.974241589687019,5.10b/c,103,,Oregon
30029,Eaglet,111965801,sport,111963879,(3) The Aviary,"[-121.56848, 45.4091]",12,21.87869048889181,2.1666666666666665,2.0,2.0,1.986111111111111,1.8333333333333333,2.067635754932405,1.9085868507068358,5.10b/c,103,,Oregon
30030,Even,106218207,trad,106218182,"Playground, The","[-121.56836, 45.40403]",21,25.169584093163458,2.857142857142857,2.875,3.0,2.7210884353741496,2.738095238095238,2.7436271611119913,2.7607748308689413,5.7,73,,Oregon
30031,Guillotine,111848797,trad,106218182,"Playground, The","[-121.56836, 45.40403]",9,11.546348224393787,3.4444444444444446,3.4,3.0,3.0617283950617282,3.022222222222222,3.1461298277791148,3.105534604194868,5.10a,100,,Oregon
30032,Temptation,106218197,trad,106218182,"Playground, The","[-121.56836, 45.40403]",5,7.127105532795214,2.6,2.6666666666666665,3.0,2.08,2.1333333333333333,2.2351955239001082,2.292508229641136,5.9,93,,Oregon
30033,For Pete's Sake,106218189,trad,106218182,"Playground, The","[-121.56836, 45.40403]",20,24.31942147240139,2.95,2.966666666666667,3.0,2.8025,2.8183333333333334,2.8286977723401945,2.8446791156867492,5.8/9,85,,Oregon
30034,Pop Quiz,111829294,trad,106218228,Schoolroom Cracks,"[-121.56849, 45.40461]",1,1.1985516234839741,1.0,1.0,1.0,0.0,0.0,0.16565963417313667,0.16565963417313667,5.7,73,,Oregon
30035,Smokin',110356712,trad,106218228,Schoolroom Cracks,"[-121.56849, 45.40461]",11,14.857175775213609,2.727272727272727,2.75,3.0,2.4793388429752063,2.5,2.543706700422411,2.5649042562592648,5.8,83,,Oregon
30036,Bottlecap,106218232,trad,106218228,Schoolroom Cracks,"[-121.56849, 45.40461]",6,7.697565482929191,3.1666666666666665,3.1666666666666665,3.0,2.638888888888889,2.638888888888889,2.755281187233026,2.755281187233026,5.10a,100,,Oregon
30037,Dunce,111208948,trad,106218228,Schoolroom Cracks,"[-121.56849, 45.40461]",10,11.781945294513623,1.7,1.7,2.0,1.53,1.53,1.5557114332561346,1.5557114332561346,5.6,63,,Oregon
30038,Not for Teacher,113206419,trad,106218228,Schoolroom Cracks,"[-121.56849, 45.40461]",4,5.701684426236172,2.75,2.8333333333333335,3.0,2.0625,2.125,2.2676863897717774,2.336404159158801,5.9,93,PG,Oregon
30039,Schoolroom,111208967,trad,106218228,Schoolroom Cracks,"[-121.56849, 45.40461]",7,10.11837626164358,2.0,2.0,2.0,1.7142857142857144,1.7142857142857144,1.8023398272328004,1.8023398272328004,5.8/9,91,,Oregon
30040,Unknown,114790493,trad,114790455,Heather Cliff,"[-121.66293, 45.35251]",2,2.3971032469679483,4.0,4.0,4.0,2.0,2.0,2.3313192683462733,2.3313192683462733,5.7,73,PG,Oregon
30041,Stemulation,107847161,trad,106735075,Spring Mountain,"[-118.23642, 45.45813]",1,1.1985516234839741,1.0,1.0,1.0,0.0,0.0,0.16565963417313667,0.16565963417313667,5.7,73,,Oregon
30042,Face the Crook,107722354,trad,106735075,Spring Mountain,"[-118.23642, 45.45813]",2,2.3971032469679483,1.5,1.5,1.0,0.75,0.75,0.8742447256298524,0.8742447256298524,5.7,73,,Oregon
30043,Trix,107724757,trad,106735075,Spring Mountain,"[-118.23642, 45.45813]",7,9.45456640240866,2.7142857142857144,2.8,3.0,2.3265306122448983,2.4,2.427198438279676,2.5038468100148235,5.8,83,,Oregon
30044,Pod of God,107302489,trad,106735075,Spring Mountain,"[-118.23642, 45.45813]",23,31.065003893628454,3.217391304347826,3.15625,3.0,3.0775047258979207,3.019021739130435,3.1138216632376983,3.0546485319684007,5.8,83,,Oregon
30045,Lively Up Yourself,107756796,trad,106735075,Spring Mountain,"[-118.23642, 45.45813]",7,9.45456640240866,1.7142857142857142,1.375,1.0,1.469387755102041,1.1785714285714286,1.5329674347029532,1.2295676299179936,5.8,83,,Oregon
30046,Fish for the Future,107721316,trad,106735075,Spring Mountain,"[-118.23642, 45.45813]",1,1.3506523432012372,2.0,2.0,2.0,0.0,0.0,0.5192340500741168,0.5192340500741168,5.8,83,,Oregon
30047,Eighteen Wheeler,107982675,trad,106735075,Spring Mountain,"[-118.23642, 45.45813]",2,2.7013046864024743,1.5,1.5,1.0,0.75,0.75,0.9447127687777939,0.9447127687777939,5.8,83,,Oregon
30048,Crack Atowa,107952632,trad,106735075,Spring Mountain,"[-118.23642, 45.45813]",10,13.506523432012372,3.0,3.0,3.0,2.7,2.7,2.7778851075111173,2.7778851075111173,5.8,83,,Oregon
30049,Cornered,107724771,trad,106735075,Spring Mountain,"[-118.23642, 45.45813]",2,2.7013046864024743,2.0,2.0,1.0,1.0,1.0,1.2596170250370584,1.2596170250370584,5.8,83,,Oregon
30050,Chopper,107805869,trad,106735075,Spring Mountain,"[-118.23642, 45.45813]",5,6.753261716006186,2.8,2.875,3.0,2.2399999999999998,2.3000000000000003,2.385385534020753,2.4492797893963085,5.8,83,,Oregon
30051,Phoups,107952652,trad,106735075,Spring Mountain,"[-118.23642, 45.45813]",1,1.4684840069700762,2.0,2.0,2.0,0.0,0.0,0.6380512211865343,0.6380512211865343,5.10b,102,,Oregon
30052,Moufot's Woof,107722463,trad,106735075,Spring Mountain,"[-118.23642, 45.45813]",7,8.98049306341739,2.857142857142857,2.9166666666666665,3.0,2.4489795918367347,2.5,2.5389929697183446,2.591888656587477,5.10a,100,,Oregon
30053,Geophysical,107266527,trad,106735075,Spring Mountain,"[-118.23642, 45.45813]",4,5.131710321952794,2.75,2.8333333333333335,3.0,2.0625,2.125,2.214116283369337,2.2812107161987107,5.10a,100,,Oregon
30054,Digital Delight,107847165,trad,106735075,Spring Mountain,"[-118.23642, 45.45813]",1,1.2829275804881985,3.0,3.0,3.0,0.0,0.0,0.6615983274298337,0.6615983274298337,5.10a,100,,Oregon
